id,category,question,answer
479,Water & Wastewater,What is sludge digestion?,The biological decomposition of organic sludge solids.
480,Environmental Chemistry,What is the troposphere?,The lowest layer of the atmosphere where weather occurs.
481,Environmental Chemistry,What is the stratosphere?,The atmospheric layer above the troposphere containing the ozone layer.
482,Air Quality & Control,What is the lapse rate?,The rate at which atmospheric temperature decreases with altitude.
483,Air Quality & Control,What is an electrostatic precipitator?,A device using electric fields to remove particulate matter from exhaust.
484,Fundamental Principles,What is flue gas desulfurization?,A technology used to remove sulfur dioxide from exhaust flue gases.
485,Energy & Environment,What is refuse-derived fuel?,Fuel produced from the combustible portion of municipal solid waste.
486,Solid & Hazardous Waste,What is a sanitary landfill?,An engineered site for disposing of solid waste without creating nuisances.
487,Solid & Hazardous Waste,What is a composite liner?,A landfill liner consisting of a geomembrane and low-permeability soil.
488,Health Hazards & Risk Assessment,What is the Toxicity Characteristic Leaching Procedure?,A test to determine if a waste is hazardous based on leaching potential.
489,Fundamental Principles,What is the National Priorities List?,The list of hazardous waste sites eligible for Superfund cleanup.
490,Groundwater/Soils/Sediments,What is deep well injection?,Disposal of liquid hazardous waste into deep geological formations.
491,Energy & Environment,What is sound power?,The total sound energy radiated by a source per unit time.
492,Fundamental Principles,What is a weighting network?,A filter in a sound meter approximating the human ear's frequency response.
493,Fundamental Principles,What is the unit rem used for?,A unit of radiation dose equivalent accounting for biological damage.
494,Fundamental Principles,What is chemical potential?,A thermodynamic quantity representing the tendency for a reaction to occur.
495,Environmental Chemistry,What is Gibbs free energy?,A thermodynamic quantity that gives a direct criterion for the spontaneity of a reaction.
496,Fundamental Principles,What are polysaccharides?,Carbohydrates containing polymeric chains of several hundred to several thousand monosaccharides.
497,Fundamental Principles,What are obligate aerobes?,Organisms that can survive only in the presence of oxygen.
498,Fundamental Principles,What are obligate anaerobes?,Organisms that can survive only in the absence of oxygen.
499,Fundamental Principles,What is bioaccumulation?,The total uptake of chemicals by an organism from food items and directly from the environment.
500,Fundamental Principles,What is baseflow?,Streamflow that results from groundwater entering the stream.
501,Thermodynamics,What is the functional unit in Life Cycle Assessment?,The quantity of a product or product system that forms the basis of comparison in a Life Cycle Assessment.
502,Energy & Environment,What is primary energy?,Energy in its natural form before any transformation occurs.
503,Fundamental Principles,What is membrane rejection?,A measure of the degree to which constituents in the feed water are prevented from passing through a semipermeable membrane.
504,Water & Wastewater,What is Chemical Oxygen Demand (COD)?,A test that measures the amount of oxygen required to chemically oxidize organic matter in water.
505,Fundamental Principles,What is flow equalization?,The damping of flow and water quality variations to achieve a constant flow rate.
506,Fundamental Principles,What is Solids Retention Time (SRT)?,The average time a microbial cell remains in an activated sludge system.
507,Fundamental Principles,What is acidogenesis?,A stage in anaerobic digestion where bacteria convert hydrolysis products into organic acids and alcohols.
508,Fundamental Principles,What is methanogenesis?,A stage in anaerobic digestion where methanogens convert intermediates into methane and carbon dioxide.
509,Thermodynamics,What is an adiabatic process?,A thermodynamic process that takes place with no exchange of heat or mass between the system and its surroundings.
510,Fundamental Principles,What are criteria pollutants?,Six air pollutants for which the EPA has established National Ambient Air Quality Standards based on health criteria.
511,Fundamental Principles,What does MACT stand for?,Maximum Achievable Control Technology.
512,Fundamental Principles,What is a circular economy?,"A system that keeps materials, products, and services in circulation for as long as possible to minimize waste."
513,Solid & Hazardous Waste,What is closed-loop recycling?,The use of recycled products to make the same or similar products.
514,Energy & Environment,What is Refuse-Derived Fuel (RDF)?,The combustible portion of solid waste that has been processed for use as fuel.
515,Solid & Hazardous Waste,What is a listed hazardous waste?,"A waste specifically named on one of the EPA's four lists (F, K, P, or U) of hazardous wastes."
516,Solid & Hazardous Waste,What is a characteristic hazardous waste?,"A waste that exhibits ignitability, corrosivity, reactivity, or toxicity."
517,Fundamental Principles,What is the National Priority List (NPL)?,A list of hazardous waste sites that present a significant risk and are eligible for Superfund money.
518,Fundamental Principles,What is the definition of noise as a pollutant?,Any sound that can produce an undesired physiological or psychological effect or interfere with social ends.
519,Energy & Environment,What is the equivalent continuous equal energy level (Leq)?,The steady noise level that would contain the same amount of sound energy as the actual time-varying noise over a period.
520,Fundamental Principles,What is an isotope?,Atoms of the same element that have the same number of protons but different numbers of neutrons.
521,Thermodynamics,What is gamma radiation?,Electromagnetic radiation emitted when a nucleus in an excited state transfers to a more stable state.
522,Fundamental Principles,What is a Becquerel?,A unit of radioactivity defined as one disintegration per second.
523,Fundamental Principles,What is Relative Biological Effectiveness (RBE)?,The ratio of the absorbed dose of gamma radiation to the absorbed dose of a given radiation to produce the same effect.
524,Fundamental Principles,What is an ion?,An electrically charged atom or molecule.
525,Environmental Chemistry,What is molarity?,The number of moles of solute per liter of solution.
526,Fundamental Principles,What is a buffer solution?,A solution that resists large changes in pH when an acid or base is added.
527,Environmental Chemistry,What is Henry's Law?,A law stating that the partial pressure of a chemical in the gas phase is linearly proportional to its concentration in the liquid phase.
528,Fundamental Principles,What is a batch reactor?,"A reactor where materials are added, mixed, and allowed to react for a time before being discharged."
529,Fundamental Principles,What is a Continuous-Flow Stirred Tank Reactor (CSTR)?,A reactor where contents are perfectly mixed and effluent concentration equals reactor concentration.
530,Thermodynamics,What is the First Law of Thermodynamics?,"Energy cannot be created or destroyed, only transformed."
531,Thermodynamics,What is the Second Law of Thermodynamics?,Processes occur in a direction that increases the total entropy of the system and surroundings.
532,Fundamental Principles,What is specific heat?,The amount of heat energy required to raise the temperature of a unit mass of a substance by one degree.
533,Thermodynamics,What is heat conduction?,The transfer of heat through a material by molecular activity.
534,Thermodynamics,What is heat convection?,The transfer of heat by the movement of a fluid.
535,Thermodynamics,What is radiation heat transfer?,The transfer of heat energy by electromagnetic waves.
536,Fundamental Principles,What is an ecosystem?,A community of organisms interacting with one another and their physical environment.
537,Environmental Chemistry,What are autotrophs?,Organisms that obtain their carbon from inorganic sources like carbon dioxide.
538,Environmental Chemistry,What are heterotrophs?,Organisms that obtain their carbon from organic compounds.
539,Fundamental Principles,What is nitrification?,The biological oxidation of ammonia to nitrate.
540,Fundamental Principles,What is denitrification?,The biological reduction of nitrate to nitrogen gas.
541,Fundamental Principles,What is the hydraulic gradient?,The change in hydraulic head per unit distance.
542,Groundwater/Soils/Sediments,What is an unconfined aquifer?,An aquifer where the water table is the upper surface of the zone of saturation.
543,Groundwater/Soils/Sediments,What is a confined aquifer?,An aquifer trapped between two impermeable layers.
544,Fundamental Principles,What is the Surface Water Treatment Rule (SWTR)?,A regulation requiring filtration and disinfection for systems using surface water or groundwater under its influence.
545,Fundamental Principles,What is a non-transient non-community water system?,"A water system that supplies water to the same people at least six months a year, but not year-round (e.g., schools)."
546,Fundamental Principles,What is the Maximum Contaminant Level Goal (MCLG)?,A non-enforceable health goal for a contaminant in drinking water set at a level where no known health effects occur.
547,Water & Wastewater,What is Type I sedimentation?,Sedimentation of discrete particles that settle at a constant velocity without interaction.
548,Water & Wastewater,What is Type II sedimentation?,"Sedimentation of particles that flocculate during settling, increasing their velocity."
549,Fundamental Principles,What is membrane rejection?,The fraction of a solute that is prevented from passing through a membrane.
550,Fundamental Principles,What is an adsorption isotherm?,A relationship between the amount of adsorbate on the adsorbent and its concentration in the fluid at equilibrium.
551,Water & Wastewater,What is combined chlorine?,The form of chlorine existing in water in chemical combination with ammonia or organic nitrogen.
552,Water & Wastewater,What is sludge conditioning?,"Treatment of sludge to improve its dewatering characteristics, often using chemicals."
553,Fundamental Principles,What is a belt filter press?,A continuous-feed sludge dewatering device that uses two moving belts to squeeze water out of sludge.
554,Fundamental Principles,What is a bar rack?,A device with parallel bars used to remove large objects from wastewater influent.
555,Fundamental Principles,What is a macerator?,A device that chops or grinds solids in wastewater.
556,Fundamental Principles,What is mixed liquor suspended solids (MLSS)?,The concentration of suspended solids in the aeration tank of an activated sludge system.
557,Water & Wastewater,What is the sludge volume index (SVI)?,The volume in milliliters occupied by one gram of activated sludge after settling for 30 minutes.
558,Fundamental Principles,What is a rotating biological contactor (RBC)?,A biological treatment system consisting of circular textured plastic disks rotating in wastewater.
559,Fundamental Principles,What are the three stages of anaerobic digestion?,"Hydrolysis, acidogenesis, and methanogenesis."
560,Fundamental Principles,What is biological nitrification?,The biological oxidation of ammonia to nitrate.
561,Fundamental Principles,What is biological denitrification?,The biological reduction of nitrate to nitrogen gas.
562,Air Quality & Control,What is the environmental lapse rate?,The actual change in temperature with altitude in the atmosphere.
563,Air Quality & Control,What is an atmospheric inversion?,"A condition where atmospheric temperature increases with altitude, trapping pollutants."
564,Air Quality & Control,What is effective stack height?,The physical height of a stack plus the plume rise.
565,Air Quality & Control,What is a baghouse?,An air pollution control device that removes particulates using fabric filters.
566,Environmental Chemistry,What is selective catalytic reduction (SCR)?,A technology to reduce NOx emissions using a catalyst and ammonia.
567,Air Quality & Control,What is the stoichiometric air-to-fuel ratio?,The exact amount of air required for complete combustion of a fuel.
568,Fundamental Principles,What is positive crankcase ventilation (PCV)?,A system that controls hydrocarbon emissions from the crankcase of an internal combustion engine.
569,Energy & Environment,What is refuse-derived fuel (RDF)?,The combustible portion of municipal solid waste processed for use as fuel.
570,Fundamental Principles,What is a trommel screen?,A rotating cylindrical screen used to separate solid waste materials by size.
571,Fundamental Principles,What is a tipping floor?,The area in a transfer station or material recovery facility where waste is unloaded.
572,Solid & Hazardous Waste,What is daily cover in a landfill?,Soil placed over compacted waste in a landfill at the end of each operating day.
573,Solid & Hazardous Waste,What is the P-list for hazardous waste?,A list of acute hazardous wastes derived from commercial chemical products.
574,Solid & Hazardous Waste,What is the U-list for hazardous waste?,A list of toxic hazardous wastes derived from commercial chemical products.
575,Fundamental Principles,What is the Toxic Substances Control Act (TSCA)?,Legislation regulating the production and use of chemical substances such as PCBs and asbestos.
576,Air Quality & Control,What is air stripping?,A process that removes volatile organic compounds from water by transferring them to air.
577,Fundamental Principles,What is the threshold of hearing?,0 dB (20 microPascals).
578,Fundamental Principles,What is the threshold of pain for noise?,Approximately 120 to 140 dB.
579,Fundamental Principles,What is a weighting network?,A filter in a sound meter that adjusts sensitivity to match the human ear.
580,Fundamental Principles,What is Leq?,The equivalent continuous sound level with the same energy as a fluctuating sound over time.
581,Fundamental Principles,What is Ldn?,The day-night average sound level with a penalty added for nighttime noise.
582,Fundamental Principles,What is the inverse square law in acoustics?,Sound intensity decreases in proportion to the square of the distance from the source.
583,Environmental Chemistry,What is secular equilibrium?,"A state where a radioactive parent has a much longer half-life than its daughter, maintaining constant activity."
584,Fundamental Principles,What is a radioactive decay chain?,A series of nuclides where each decays into the next until a stable nuclide is formed.
585,Fundamental Principles,What is relative biological effectiveness (RBE)?,The ratio of the dose of reference radiation to the dose of test radiation producing the same biological effect.
586,Fundamental Principles,What is a rem?,A unit of radiation dose equivalent (Roentgen Equivalent Man).
587,Health Hazards & Risk Assessment,What is the vadose zone?,The unsaturated zone of soil between the ground surface and the water table.
588,Fundamental Principles,What is specific yield?,The ratio of water that drains from a saturated rock to the total volume of the rock.
589,Fundamental Principles,What is a cone of depression?,The depression in the water table or piezometric surface around a pumping well.
590,Fundamental Principles,What is transmissibility?,The rate at which water flows through a unit width of an aquifer under a unit hydraulic gradient.
591,Fundamental Principles,What is the critical point in a DO sag curve?,The point downstream of a discharge where dissolved oxygen is lowest.
592,Water & Wastewater,What is nitrogenous BOD?,Oxygen demand from the biological oxidation of ammonia to nitrate.
593,Fundamental Principles,What is the hypolimnion?,"The bottom, cold, and dense layer of a stratified lake."
594,Fundamental Principles,What is the definition of noise as an environmental pollutant?,Any sound that can produce an undesired physiological or psychological effect or interfere with social ends.
595,Fundamental Principles,What is the inverse square law regarding sound transmission?,Sound intensity decreases in proportion to the square of the distance from the source.
596,Fundamental Principles,What is a weighting network in a sound level meter?,A filter that adjusts the meter's sensitivity to different frequencies to mimic human hearing response.
597,Fundamental Principles,What is the unit decibel (dB) used to measure?,"A logarithmic unit used to express the ratio of two levels of power, intensity, or pressure."
598,Energy & Environment,What is sound power?,The total sound energy radiated by a source per unit of time.
599,Thermodynamics,What is ionizing radiation?,Radiation with sufficient energy to remove tightly bound electrons from the orbit of an atom.
600,Fundamental Principles,What is an isotope?,Atoms of the same element that have the same number of protons but different numbers of neutrons.
601,Environmental Chemistry,What is an alpha particle?,A positively charged particle consisting of two protons and two neutrons emitted during decay.
602,Fundamental Principles,What is a beta particle?,An electron or positron emitted from a nucleus during radioactive decay.
603,Thermodynamics,What is gamma radiation?,Electromagnetic radiation emitted from a nucleus in an excited state transferring to a more stable state.
604,Fundamental Principles,What is a half-life?,The time required for half of the radioactive atoms in a sample to decay.
605,Fundamental Principles,What is the unit becquerel (Bq)?,A unit of radioactivity defined as one disintegration per second.
606,Fundamental Principles,What is nuclear fission?,"The splitting of a heavy nucleus into two roughly equal fragments, releasing energy."
607,Thermodynamics,What is background radiation?,Radiation from natural sources like cosmic rays and terrestrial radioactive materials.
608,Fundamental Principles,What is radon?,"A colorless, odorless, radioactive gas that emanates from natural geologic formations."
609,Fundamental Principles,What is High-Level Radioactive Waste (HLW)?,Spent nuclear fuel or highly radioactive waste from reprocessing spent fuel.
610,Fundamental Principles,What is Transuranic (TRU) Waste?,Waste containing alpha-emitting radionuclides heavier than uranium with long half-lives.
611,Fundamental Principles,What is the ALARA principle?,As Low As Reasonably Achievable; a principle for minimizing radiation exposure.
612,Solid & Hazardous Waste,What is the definition of hazardous waste according to the EPA?,Any item or chemical which can cause harm to people or the environment when improperly managed.
613,Solid & Hazardous Waste,What are the four characteristics of hazardous waste?,"Ignitability, corrosivity, reactivity, and toxicity."
614,Fundamental Principles,What is the cradle-to-grave concept?,The regulation of hazardous waste from its point of generation to its final disposal.
615,Fundamental Principles,What is the National Priorities List (NPL)?,The EPA's list of the most serious uncontrolled or abandoned hazardous waste sites.
616,Health Hazards & Risk Assessment,What is the Hazard Ranking System (HRS)?,A scoring system used to assess the relative threat associated with hazardous waste sites.
617,Fundamental Principles,What is the National Contingency Plan (NCP)?,A federal plan that provides detailed direction on the action to be taken at a hazardous waste site.
618,Fundamental Principles,What is a Potentially Responsible Party (PRP)?,An individual or company potentially liable for payment of Superfund cleanup costs.
619,Groundwater/Soils/Sediments,What is bioremediation?,The use of microorganisms to degrade hazardous organic contaminants.
620,Groundwater/Soils/Sediments,What is deep well injection?,Pumping liquid hazardous waste into porous rock formations deep underground.
621,Fundamental Principles,What is stabilization-solidification?,"A process to immobilize hazardous waste by converting it into a solid, leach-resistant mass."
622,Solid & Hazardous Waste,What is municipal solid waste (MSW)?,"Non-hazardous waste generated by households, institutions, and businesses."
623,Solid & Hazardous Waste,What is leachate?,Liquid that has percolated through solid waste and extracted dissolved or suspended materials.
624,Solid & Hazardous Waste,What is composting?,The controlled decomposition of organic materials by microorganisms.
625,Environmental Chemistry,What is source reduction?,"The design, manufacture, or use of products to minimize the amount of waste generated."
626,Solid & Hazardous Waste,What is recycling?,The recovery of useful materials from waste streams for reuse.
627,Solid & Hazardous Waste,What is closed-loop recycling?,The use of recycled products to make the same or similar products.
628,Solid & Hazardous Waste,What is secondary recycling?,The use of recycled materials to make new products with different characteristics.
629,Energy & Environment,What is Refuse-Derived Fuel (RDF)?,Fuel produced from the combustible portion of municipal solid waste.
630,Fundamental Principles,What is the circular economy?,An economic system aimed at minimizing waste and making the most of resources.
631,Solid & Hazardous Waste,What is the purpose of daily cover in a landfill?,"To prevent odors, fires, and the spread of disease by vectors like flies and rats."
632,Air Quality & Control,What are criteria air pollutants?,"Six common air pollutants regulated by the EPA (CO, Pb, NO₂, O₃, PM, SO₂)."
633,Fundamental Principles,What is acid rain?,Precipitation with acidic components resulting from sulfur and nitrogen oxides.
634,Environmental Chemistry,What is photochemical smog?,Air pollution formed by the reaction of sunlight with nitrogen oxides and volatile organic compounds.
635,Fundamental Principles,What is the greenhouse effect?,The warming of the Earth due to gases absorbing outgoing infrared radiation.
636,Thermodynamics,What is an adiabatic process?,A process where temperature changes without heat exchange with the surroundings.
637,Air Quality & Control,What is an atmospheric inversion?,"A condition where atmospheric temperature increases with altitude, trapping pollutants."
638,Fundamental Principles,What is Flue Gas Desulfurization (FGD)?,A technology used to remove sulfur dioxide from exhaust flue gases.
639,Air Quality & Control,What is an electrostatic precipitator (ESP)?,A device that uses electric fields to remove particulate matter from exhaust gases.
640,Air Quality & Control,What is a baghouse?,An air pollution control device that removes particulates using fabric filters.
641,Environmental Chemistry,What is stratospheric ozone depletion?,The thinning of the ozone layer caused by chemicals like chlorofluorocarbons (CFCs).
642,Health Hazards & Risk Assessment,What is the primary health risk of radon exposure?,Lung cancer.
643,Fundamental Principles,What is Sound Pressure Level (SPL)?,A logarithmic measure of the effective sound pressure of a sound relative to a reference value.
644,Fundamental Principles,What is quantitative environmental science?,The application of mathematics and statistics to environmental data to formulate theories and solve problems.
645,Fundamental Principles,What is a covalent bond?,A chemical bond formed by the sharing of electrons between atoms.
646,Fluid Mechanics & Hydraulics,Define viscosity.,A measure of a fluid's resistance to flow.
647,Fundamental Principles,What are plasmids?,Small circular DNA molecules in bacteria that replicate independently of the chromosome.
648,Fundamental Principles,What is catabolism?,"Metabolic pathways that break down molecules, releasing energy."
649,Fundamental Principles,What is a Continuous Stirred Tank Reactor (CSTR)?,A reactor where the contents are perfectly mixed and the effluent concentration equals the reactor concentration.
650,Thermodynamics,What is the Second Law of Thermodynamics?,Processes occur in a direction that increases the total entropy of the system and surroundings.
651,Fundamental Principles,What are primary producers?,"Organisms, such as plants and algae, that produce their own food from inorganic sources."
652,Fundamental Principles,What is biomagnification?,The increase in concentration of a substance in the tissues of organisms at successively higher levels in a food chain.
653,Health Hazards & Risk Assessment,What is chronic toxicity?,Adverse effects resulting from long-term exposure to a substance.
654,Probability & Statistics,What is the One-Hit Model in risk assessment?,"A cancer risk model assuming a single event (hit) can cause a tumor, implying no safe threshold."
655,Groundwater/Soils/Sediments,What is a confined aquifer?,An aquifer trapped between two impermeable layers of rock or clay.
656,Fundamental Principles,What is baseflow?,Streamflow that results from groundwater entering the stream.
657,Fundamental Principles,What is a circular economy?,An economic system aimed at eliminating waste and the continual use of resources.
658,Fluid Mechanics & Hydraulics,What is pumped storage hydropower?,A method of storing energy by pumping water to a higher elevation reservoir for later release.
659,Fundamental Principles,What is thermal pollution?,Degradation of water quality by any process that changes ambient water temperature.
660,Fundamental Principles,What are indicator organisms?,"Microorganisms used to detect fecal contamination in water (e.g., coliforms)."
661,Water & Wastewater,What is lime softening?,The process of removing hardness (calcium and magnesium) from water using lime (CaO).
662,Water & Wastewater,What is membrane filtration?,The removal of particles from water by passing it through a semi-permeable membrane.
663,Fundamental Principles,What is reverse osmosis?,"A process using pressure to force water through a membrane, removing dissolved salts and contaminants."
664,Water & Wastewater,What is a trickling filter?,A biological treatment process where wastewater trickles over a media covered in microbial slime.
665,Fundamental Principles,What is mixed liquor?,The mixture of wastewater and activated sludge in an aeration tank.
666,Water & Wastewater,What is sludge digestion?,The biological decomposition of organic sludge solids to stabilize them and reduce volume.
667,Air Quality & Control,What is particulate matter (PM)?,Solid or liquid particles suspended in the air.
668,Environmental Chemistry,What is the troposphere?,The lowest layer of the atmosphere where weather occurs.
669,Environmental Chemistry,What is stratospheric ozone?,Ozone located in the stratosphere that protects Earth from UV radiation.
670,Fundamental Principles,What is refuse?,"Solid waste, commonly known as garbage, trash, or rubbish."
671,Fundamental Principles,What is source separation?,The segregation of recyclable materials from waste at the point of generation.
672,Fundamental Principles,What is waste minimization?,Strategies to reduce the amount and toxicity of waste generated.
673,Health Hazards & Risk Assessment,What is the Hazard Ranking System (HRS)?,A scoring system used by the EPA to assess the relative threat of hazardous waste sites.
674,Fundamental Principles,What is the National Contingency Plan (NCP)?,Federal regulations providing detailed direction for responding to hazardous substance releases.
675,Fundamental Principles,What is frequency in the context of sound?,"The number of pressure variations (cycles) per second, measured in Hertz."
676,Energy & Environment,What is sound power?,The total sound energy radiated by a source per unit of time.
677,Fundamental Principles,What is nuclear fission?,"The splitting of a heavy nucleus into two lighter nuclei, releasing energy."
678,Fundamental Principles,What is transuranic waste?,Radioactive waste containing alpha-emitting elements heavier than uranium.
679,Environmental Chemistry,What is Henry's Law?,A law stating the solubility of a gas in a liquid is proportional to the partial pressure of the gas.
680,Environmental Chemistry,What is pH?,The negative logarithm of the hydrogen ion activity.
681,Environmental Chemistry,What is photosynthesis?,The process by which plants convert light energy into chemical energy (carbohydrates).
682,Thermodynamics,What is efficiency in a system?,The ratio of useful output (energy or mass) to total input.
683,Thermodynamics,What is the carbon cycle?,"The movement of carbon between the biosphere, atmosphere, oceans, and geosphere."
684,Water & Wastewater,What is infiltration?,The process by which water on the ground surface enters the soil.
685,Energy & Environment,What is renewable energy?,"Energy from sources that are naturally replenishing, such as solar and wind."
686,Fundamental Principles,What is Total Kjeldahl Nitrogen (TKN)?,A measure of the total organic nitrogen and ammonia nitrogen in wastewater.
687,Fundamental Principles,What is palatable water?,"Water that is aesthetically pleasing (good taste, odor, and appearance)."
688,Fundamental Principles,What is grit in wastewater treatment?,Heavy inorganic solids like sand and gravel found in wastewater.
689,Environmental Chemistry,What is photochemical smog?,Air pollution produced by the reaction of sunlight with nitrogen oxides and volatile organic compounds.
690,Solid & Hazardous Waste,What is daily cover in a landfill?,Soil placed over compacted waste in a landfill at the end of each day to prevent odors and pests.
691,Groundwater/Soils/Sediments,What is deep well injection?,A disposal method where hazardous waste is pumped into porous rock formations deep underground.
692,Fundamental Principles,What is the inverse square law regarding sound?,Sound intensity decreases in proportion to the square of the distance from the source.
693,Fundamental Principles,What is a Becquerel?,"The SI unit of radioactivity, equal to one disintegration per second."
694,Solid & Hazardous Waste,What is the Resource Conservation and Recovery Act (RCRA)?,"A federal law regulating the generation, transportation, treatment, storage, and disposal of hazardous waste."
695,Solid & Hazardous Waste,What are the four characteristics of hazardous waste?,"Ignitability, corrosivity, reactivity, and toxicity."
696,Fundamental Principles,What is the cradle-to-grave concept?,The regulation of hazardous waste from its point of generation to its final disposal.
697,Solid & Hazardous Waste,What is the Superfund?,A federal program (CERCLA) designed to clean up abandoned or uncontrolled hazardous waste sites.
698,Fundamental Principles,What is the National Priorities List (NPL)?,The EPA's list of the most serious uncontrolled or abandoned hazardous waste sites eligible for cleanup funds.
699,Health Hazards & Risk Assessment,What is the Hazard Ranking System (HRS)?,A scoring system used to assess the relative threat associated with hazardous waste sites.
700,Groundwater/Soils/Sediments,What is bioremediation?,The use of microorganisms to break down hazardous organic contaminants.
701,Groundwater/Soils/Sediments,What is deep well injection?,The disposal of liquid hazardous waste by pumping it into porous rock formations deep underground.
702,Solid & Hazardous Waste,What is incineration in the context of hazardous waste?,Controlled combustion used to destroy hazardous waste.
703,Solid & Hazardous Waste,What is municipal solid waste (MSW)?,"Non-hazardous waste generated by households, institutions, and businesses."
704,Solid & Hazardous Waste,What is leachate?,Liquid that has percolated through solid waste and extracted dissolved or suspended materials.
705,Solid & Hazardous Waste,What gases are primarily produced in a landfill?,Methane and carbon dioxide.
706,Solid & Hazardous Waste,What is composting?,The controlled biological decomposition of organic material.
707,Energy & Environment,What is Refuse-Derived Fuel (RDF)?,Fuel produced from the combustible portion of municipal solid waste.
708,Environmental Chemistry,What is source reduction?,Strategies to reduce the amount of waste generated at the source.
709,Solid & Hazardous Waste,What is recycling?,The recovery of useful materials from waste streams for reuse.
710,Solid & Hazardous Waste,What is a sanitary landfill?,An engineered site for disposing of solid waste that minimizes environmental hazards.
711,Solid & Hazardous Waste,What is the purpose of daily cover in a landfill?,"To prevent odors, fires, and the spread of disease by vectors like flies and rats."
712,Air Quality & Control,What are criteria air pollutants?,"Six common air pollutants regulated by the EPA (CO, Pb, NO2, O3, PM, SO2)."
713,Air Quality & Control,What is the difference between primary and secondary air quality standards?,Primary standards protect human health; secondary standards protect public welfare.
714,Fundamental Principles,What is a nonattainment area?,A geographic area that does not meet the primary standard for a specific air pollutant.
715,Fundamental Principles,What is a State Implementation Plan (SIP)?,A plan established by a state to enforce air quality standards.
716,Fundamental Principles,What is the greenhouse effect?,The warming of the Earth due to gases absorbing outgoing infrared radiation.
717,Fundamental Principles,What is acid rain?,Precipitation with acidic components resulting from sulfur and nitrogen oxides.
718,Fundamental Principles,What is the Montreal Protocol?,An international agreement to phase out ozone-depleting substances.
719,Air Quality & Control,What is an electrostatic precipitator?,A device that uses electric fields to remove particulate matter from exhaust gases.
720,Air Quality & Control,What is a cyclone collector?,A device that uses centrifugal force to remove particulate matter from gas streams.
721,Fundamental Principles,What is radon?,"A colorless, odorless, radioactive gas that emanates from natural geologic formations."
722,Fundamental Principles,What is the definition of noise?,Any sound that produces an undesired physiological or psychological effect.
723,Fundamental Principles,What is a decibel?,"A logarithmic unit used to express the ratio of two levels of power, intensity, or pressure."
724,Fundamental Principles,What is frequency in the context of sound?,The number of pressure variations or cycles per second.
725,Fundamental Principles,What is the threshold of hearing?,The minimum sound level that can be perceived by the human ear (0 dB).
726,Fundamental Principles,What is a weighting network?,A filter in a sound meter that adjusts sensitivity to different frequencies to mimic the human ear.
727,Energy & Environment,What is the equivalent continuous equal energy level (Leq)?,The steady noise level that represents the same energy as the fluctuating noise over a period.
728,Fundamental Principles,What is the day-night average sound level (Ldn)?,The average sound level over 24 hours with a 10 dB penalty for nighttime noise.
729,Fundamental Principles,What is the inverse square law regarding sound?,Sound intensity decreases in proportion to the square of the distance from the source.
730,Thermodynamics,What is ionizing radiation?,Radiation with sufficient energy to remove electrons from atoms.
731,Fundamental Principles,What is an isotope?,Atoms of the same element with different numbers of neutrons.
732,Fundamental Principles,What is a half-life?,The time required for half of the radioactive atoms in a sample to decay.
733,Environmental Chemistry,What is an alpha particle?,A positively charged particle consisting of two protons and two neutrons.
734,Fundamental Principles,What is a beta particle?,An electron or positron emitted from a nucleus during decay.
735,Thermodynamics,What is gamma radiation?,High-energy electromagnetic radiation emitted from a nucleus.
736,Fundamental Principles,What is the unit becquerel (Bq)?,A unit of radioactivity defined as one disintegration per second.
737,Fundamental Principles,What is the unit rem?,A unit of radiation dose equivalent that accounts for biological damage.
738,Fundamental Principles,What is the ALARA principle?,As Low As Reasonably Achievable; a principle for minimizing radiation exposure.
739,Fundamental Principles,What is High-Level Radioactive Waste (HLW)?,Spent nuclear fuel or highly radioactive waste from reprocessing.
740,Fundamental Principles,What is Low-Level Radioactive Waste (LLW)?,"Radioactive waste not classified as high-level or transuranic, often from medical or industrial use."
741,Fundamental Principles,What is Transuranic (TRU) Waste?,Waste containing alpha-emitting elements heavier than uranium with long half-lives.
742,Health Hazards & Risk Assessment,What is the vadose zone?,The unsaturated zone of soil above the water table.
743,Groundwater/Soils/Sediments,What is hydraulic conductivity?,A measure of the ability of a porous material to transmit fluids.
744,Fundamental Principles,What is specific weight?,The weight of a substance per unit volume.
745,Fluid Mechanics & Hydraulics,What is kinematic viscosity?,The ratio of dynamic viscosity to density.
746,Fundamental Principles,What defines an isotope?,Atoms of the same element that have the same number of protons but different numbers of neutrons.
747,Fundamental Principles,What is an ionic bond?,A chemical bond formed by the electrostatic attraction between oppositely charged ions.
748,Fundamental Principles,What is the Law of Definite Proportions?,A compound always contains the same elements in the same proportions by mass.
749,Fundamental Principles,What is a buffer solution?,A solution that resists large changes in pH when an acid or base is added.
750,Water & Wastewater,Define alkalinity.,The capacity of water to neutralize acids.
751,Fundamental Principles,What is catabolism?,Metabolic pathways that break down molecules to release energy.
752,Fundamental Principles,What are facultative anaerobes?,Organisms that can survive with or without oxygen.
753,Environmental Chemistry,What characterizes the stationary phase of bacterial growth?,The phase where the growth rate of bacteria slows and equals the death rate.
754,Thermodynamics,What is the Second Law of Thermodynamics?,Processes occur in a direction that increases the total entropy of the system and surroundings.
755,Thermodynamics,What is heat conduction?,The transfer of heat through a material by molecular activity.
756,Thermodynamics,What is heat convection?,The transfer of heat by the movement of a fluid.
